Категория;Наименование;Цена;Ссылка
Овощи и фрукты;Чурчхела с фундуком в виноградном соке, весовая;660.00 ₽;https://lenta.com/product/667506-churchhela-s-fundukom-v-vinogradnom-soke-ves-rossiya/
Овощи и фрукты;Салат Шпинат, 75г;129.99 ₽;https://lenta.com/product/279196-salat-shpinat-75g/
Овощи и фрукты;Папайя АРТФРУТ, шт;729.99 ₽;https://lenta.com/product/639927-papajjya-1sht/
Овощи и фрукты;Мандарины, фасованные, весовые;379.98 ₽;https://lenta.com/product/23670-mandariny-fas-ves/
Овощи и фрукты;Томаты тепличные, весовые;140.00 ₽;https://lenta.com/product/135324-tomaty-teplichnye-ves-rossiya/
Овощи и фрукты;Авокадо ЛЕНТА FRESH Хасс ready to eat, 2шт;199.99 ₽;https://lenta.com/product/770954-avokado-hass-ready-to-eat-2sht/
Овощи и фрукты;Мандарины Муркотт, весовые;118.99 ₽;https://lenta.com/product/606622-mandariny-murkott-ves/
Овощи и фрукты;Суп Томатный с зеленью, 1л;349.99 ₽;https://lenta.com/product/627467-sup-tomatnyjj-s-zelenyu-sterilizovannyjj-i-asepticheski-upakovan-belarus-1000ml/
Овощи и фрукты;Манго сушеное FILIPINO SUN, 80г;152.99 ₽;https://lenta.com/product/617922-plody-mango-sushenye-vetnam-80g/
Овощи и фрукты;Томаты черри красные тепличные, 200г;199.99 ₽;https://lenta.com/product/656498-tomaty-cherri-krasnye-teplichnye-rossiya-200g/
Овощи и фрукты;Мандарины, весовые;67.50 ₽;https://lenta.com/product/11458-mandariny-ves/
Овощи и фрукты;Кешью SMAKKY жареный, перец, 150г;249.99 ₽;https://lenta.com/product/703075-keshyu-zharenyjj-perec-rossiya-150g/
Овощи и фрукты;Фундук в скорлупе, весовой;225.00 ₽;https://lenta.com/product/178338-funduk-v-skorlupe-ves/
Овощи и фрукты;Грибы шимиджи, 150г;199.99 ₽;https://lenta.com/product/112525-griby-shimidzhi-import-150g/
Овощи и фрукты;Чипсы кокосовые, весовые;360.00 ₽;https://lenta.com/product/640022-chipsy-kokosovye-ves/
Овощи и фрукты;Томаты черри Сладкая ягода, 400г;529.99 ₽;https://lenta.com/product/694584-tomaty-cherri-sladkaya-yagoda-rossiya-400g/
Овощи и фрукты;Вишня кубики, фасованная, весовая;250.00 ₽;https://lenta.com/product/693230-vishnya-kubik-fas-ves/
Овощи и фрукты;Напиток ФЭГ Огуречный рассол, 240г;59.99 ₽;https://lenta.com/product/526427-napitok-rassolnyjj-ogurechnyjj-rossiya-240g/
Овощи и фрукты;Грузди белые сыросоленые ФЕРМА 1913, 285г;409.99 ₽;https://lenta.com/product/726155-gruzdi-belye-syrosoljnye-rossiya-285g/
Овощи и фрукты;Киви Голд;99.99 ₽;https://lenta.com/product/227346-kivi-gold-1sht/
Овощи и фрукты;Фисташки жареные соленые крупные, весовые;450.00 ₽;https://lenta.com/product/453044-fistashki-zharenye-solenye-krupnye-2830-ves/
Овощи и фрукты;Кинза свежая, 50г;99.99 ₽;https://lenta.com/product/582308-kinza-svezhaya-up-50g/
Овощи и фрукты;Фундук жареный, весовой;575.00 ₽;https://lenta.com/product/99411-funduk-zharenyjj-yadro-ves/
Овощи и фрукты;Чурчхела с фундуком в гранатовом соке, весовая;660.00 ₽;https://lenta.com/product/667768-churchhela-s-fundukom-v-granatovom-soke-ves-rossiya/
Овощи и фрукты;Коктейль ягодный DOLCE ALBERO, 200г;319.99 ₽;https://lenta.com/product/543953-koktejjl-yagodnyjj-rossiya-200g/
Овощи и фрукты;Напиток ФЭГ Капустный рассол, 240г;69.99 ₽;https://lenta.com/product/526356-napitok-rassolnyjj-kapustnyjj-rossiya-240g/
Овощи и фрукты;Опята свежие, 200г;439.99 ₽;https://lenta.com/product/610831-griby-opyata-svezhie-rossiya-200g/
Овощи и фрукты;Груши Аббат, весовые;100.00 ₽;https://lenta.com/product/422721-grusha-abbat-ves/
Овощи и фрукты;Огурец длинноплодный, шт;49.99 ₽;https://lenta.com/product/26884-ogurcy-dlinnoplodnye-rossiya-1sht/
Овощи и фрукты;Огурцы Луховицкие, 450г;149.99 ₽;https://lenta.com/product/300671-ogurcy-luhovickie-450g/
Овощи и фрукты;Кукуруза маринованная Mexican, 450г;289.99 ₽;https://lenta.com/product/720219-kukuruza-mexican-450g/
Овощи и фрукты;Аджика ЛЕНТА Перцовая, 300г;89.99 ₽;https://lenta.com/product/890095-adzhika-percovaya-rossiya-300g/
Овощи и фрукты;Соус ФЭГ По-итальянски с прованскими травами, 240г;92.99 ₽;https://lenta.com/product/551688-sous-po-italyanski-s-provanskimi-travami-rossiya-240g/
Овощи и фрукты;Чурчхела с грецким орехом в абрикосовом соке, весовая;480.00 ₽;https://lenta.com/product/667504-churchhela-s-greckim-orehom-v-abrikosovom-soke-ves-rossiya/
Овощи и фрукты;Фисташки ЭДЕН ГАРДЕН со вкусом томаты-чеснок, 100г;234.99 ₽;https://lenta.com/product/749800-fistashki-so-vkusom-tomaty-chesnok-rossiya-100g/
