Категория;Наименование;Цена;Ссылка
Готовая еда;Котлета рыбная с картофельным пюре ЛЕНТА FRESH, 250г;209.99 ₽;https://lenta.com/product/712980-kotleta-rybnaya-s-kartofelnym-pyure-rossiya-250g/
Готовая еда;Шашлык куриный с запеченным картофелем ЛЕНТА FRESH, 280г;219.99 ₽;https://lenta.com/product/736867-shashlyk-kurinyjj-s-zapechennym-kartofelem-rossiya-280g/
Готовая еда;Салат ДОБРОСОТ Гребешки по-корейски, весовой;270.00 ₽;https://lenta.com/product/666778-salat-grebeshki-po---korejjski-ves-rossiya/
Готовая еда;Тушки варено-копченые куриные ЛЕНТА FRESH, весовые;766.99 ₽;https://lenta.com/product/221638-tushki-kurinye-vareno-kopchenye-ves-rossiya/
Готовая еда;Холодец ЛЕНТА FRESH По-домашнему, весовой;110.00 ₽;https://lenta.com/product/226814-holodec-po-domashnemu-ves-rossiya/
Готовая еда;Котлета ЛЕНТА FRESH с картофельным пюре, 250г;179.99 ₽;https://lenta.com/product/737329-kotleta-s-kartofelnym-pyure-rossiya-250g/
Готовая еда;Картофель томленый НАТУРБУФЕТ с мясом и овощами, 250г;169.99 ₽;https://lenta.com/product/384287-kartofel-tomlenyjj-s-myasom-i-ovoshchami-rossiya-250g/
Готовая еда;Салат ЛЕНТА FRESH Греческий с орегано, весовой;225.00 ₽;https://lenta.com/product/74472-salat-grecheskijj-s-oregano-ves-rossiya/
Готовая еда;Онигири FRESHCLUB Филадельфия, 100г;149.99 ₽;https://lenta.com/product/746945-onigiri-filadelfiya-rossiya-100g/
Готовая еда;Сэндвич ЛЕНТА FRESH с лососем слабосоленым, 140г;224.99 ₽;https://lenta.com/product/468444-sendvich-s-lososem-ss-rossiya-140g/
Готовая еда;Салат с креветками и запеченными овощами, весовой;510.00 ₽;https://lenta.com/product/897652-salat-s-krevetkami-i-zapechennymi-ovoshchami-ves-rossiya/
Готовая еда;Яйцо перепелиное копченое ЛЕНТА FRESH, 15шт;199.99 ₽;https://lenta.com/product/857500-yajjco-perepelinoe-kopchenoe-belarus-15sht/
Готовая еда;Брускетта ЛЕНТА FRESH с сочным куриным филе и соусом цезарь, 250г;198.99 ₽;https://lenta.com/product/676771-brusketta-s-sochnym-kurinym-file-i-sousom-cezar-rossiya-250g/
Готовая еда;Салат ЛЕНТА FRESH Гнездо глухаря, весовой;276.00 ₽;https://lenta.com/product/82933-salat-gnezdo-gluharya-ves-rossiya/
Готовая еда;Минтай жареный ЛЕНТА FRESH, весовой;168.00 ₽;https://lenta.com/product/84263-mintajj-zharenyjj-vesovojj-rossiya/
Готовая еда;Салат ЛЕНТА FRESH Мимоза с горбушей, весовой;247.50 ₽;https://lenta.com/product/83142-salat-mimoza-s-gorbushejj-ves-rossiya/
Готовая еда;Салат ЛЕНТА FRESH Курочка с нежным куриным филе и сочным ананасом, весовой;270.00 ₽;https://lenta.com/product/11554-salat-kurochka-s-nezhnym-kurinym-file-i-sochnym-ananasom-ves-rossiya/
Готовая еда;Пирог ЛЕНТА FRESH с мясом, весовой;439.99 ₽;https://lenta.com/product/176101-pirog-lenta-s-myasom-ves-sp-rossiya/
Готовая еда;Рис отварной ЛЕНТА FRESH, 200г;114.99 ₽;https://lenta.com/product/736513-ris-otvarnojj-rossiya-200g/
Готовая еда;Салат ЛЕНТА FRESH Сельдь с луком, весовой;240.00 ₽;https://lenta.com/product/83236-salat-seld-s-lukom-ves-rossiya/
Готовая еда;Свинина ЛЕНТА FRESH Богатырь, весовой;300.00 ₽;https://lenta.com/product/100629-svinina-bogatyr-ves-rossiya/
Готовая еда;Сырники ЛЕНТА FRESH Домашние с начинкой вареная сгущенка, весовые;160.00 ₽;https://lenta.com/product/587283-syrniki-domashnie-s-nachinkojj-varenaya-sgushchenka-ves-rossiya/
Готовая еда;Салат ЛЕНТА FRESH Овощной букет, весовой;150.00 ₽;https://lenta.com/product/452285-salat-ovoshchnojj-buket-ves-rossiya/
Готовая еда;Ролл ЛЕНТА FRESH Шаверма, 200г;183.99 ₽;https://lenta.com/product/382711-roll-shaverma-lenta-rossiya-200g/
Готовая еда;Селедочка ЛЕНТА FRESH по-русски, весовая;189.00 ₽;https://lenta.com/product/547448-seledochka-po-russki-ves-rossiya/
Готовая еда;Оладушки МИРАТОРГ Домашние, 100г;69.99 ₽;https://lenta.com/product/745521-oladushki-domashnie-rossiya-100g/
Готовая еда;Капуста квашеная БЕЛОРУЧКА с морковью;75.00 ₽;https://lenta.com/product/81030-kapusta-kvashenaya-s-morkovyu-rossiya/
Готовая еда;Салат ЛЕНТА FRESH Монастырский, весовой;134.70 ₽;https://lenta.com/product/11283-salat-monastyrskijj-ves-rossiya/
