Категория;Наименование;Цена;Ссылка
Сыры;Сыр творожный HOCHLAND Almette с зеленью 60%, без змж, 150г;119.99 ₽;https://lenta.com/product/6372-syr-almette-tvorozhnyjj-s-zelenyu-60-bez-zmzh-rossiya-150g/
Сыры;Сыр творожный HOCHLAND Almette сливочный 60%, без змж, 150г;119.99 ₽;https://lenta.com/product/6371-syr-almette-tvorozhnyjj-slivochnyjj-60-bez-zmzh-rossiya-150g/
Сыры;Сыр творожный SVEZA Сливочный 60%, без змж, 150г;99.99 ₽;https://lenta.com/product/692843-syr-tvorozhnyjj-slivochnyjj-60--bez-zmzh-belarus-150g/
Сыры;Сыр полутвердый РАДОСТЬ ВКУСА Топленое молочко 40%, нарезка, без змж, 125г;149.99 ₽;https://lenta.com/product/750407-syr-polutverdyjj-toplenoe-molochko-40-bez-zmzh-rossiya-125g/
Сыры;Сыр творожный УМАЛАТ Рбили с хреном и чесноком 60%, без змж, 130г;99.99 ₽;https://lenta.com/product/738698-syr-tvorozhnyjj-rbili-s-hrenom-i-chesnokom-60-bez-zmzh-rossiya-130g/
Сыры;Сыр ЛЕНТА для пиццы и макарон, тертый 45%, без змж, 300г;244.99 ₽;https://lenta.com/product/742176-syr-dlya-piccy-i-makaron-tertyjj-45-fp-bez-zmzh-rossiya-300g/
Сыры;Сыр рассольный SLIIIVKI Спагетти с аджикой 40%, без змж, 100г;154.99 ₽;https://lenta.com/product/736588-syr-rassolnyjj-spagetti-s-adzhikojj-bez-zmzh-rossiya-100g/
Сыры;Сыр СЫРОБОГАТОВ Маасдам 45%, без змж, 180г;199.99 ₽;https://lenta.com/product/719082-syr-maasdam-45-bez-zmzh-rossiya-180g/
Сыры;Сыр мягкий PRETTO Рикотта 45%, без змж, 200г;94.99 ₽;https://lenta.com/product/455088-syr-rikotta-myagkijj-45-bez-zmzh-rossiya-200g/
Сыры;Сыр СЕЛО ЗЕЛЕНОЕ Премиум Гауда 40%, нарезка, без змж, 130г;129.99 ₽;https://lenta.com/product/655591-syr-gauda-premium-nar-40-bez-zmzh-rossiya-130g/
Сыры;Сыр ЗОЛОТО ЕВРОПЫ Манчего 50%, 3 месяца, нарезка, без змж, 175г;349.99 ₽;https://lenta.com/product/898244-syr-manchego-3-mes-v-narezke-50bez-zmzh-rossiya-175g/
Сыры;Сыр MLEKARA SABAC Сербская Брынза 40%, без змж, 230г;159.99 ₽;https://lenta.com/product/735004-syr-serbskaya-brynza-40-bez-zmzh-serbiya-230g/
Сыры;Сыр ДОЛГОЛЕТИЕ Чечил Ассорти №3, классический-копченый-с укропом 45%, без змж, 150г;229.99 ₽;https://lenta.com/product/900140-syr-chechil-dolgoletie-ass-n3-klassichkopchs-ukrop-45-bez-zmzh-rossiya-150g/
Сыры;Продукт плавленый с сыром Салатный 40%, с змж, 70г;16.99 ₽;https://lenta.com/product/685157-produkt-plavlenyjj-s-syrom-salatnyjj-40-s-zmzh-rossiya-70g/
Сыры;Сыр КИПРИНО Российский 50%, без змж, весовой;285.00 ₽;https://lenta.com/product/131440-syr-rossijjskijj-50-ves-bez-zmzh-rossiya/
Сыры;Сыр ГОРОД СЫРА Гурманский 40%, без змж, 400г;269.99 ₽;https://lenta.com/product/704081-syr-gurmanskijj-40-bez-zmzh-rossiya-400g/
Сыры;Сыр LAIME Пармезан 40% колотый, без змж, весовой;600.00 ₽;https://lenta.com/product/603719-syr-parmezan-kolotyjj-40-bez-zmzh-ves-rossiya/
Сыры;Сыр ДОЛИНА ЛЕГЕНД Крымчанин с инжиром 50%, без змж, 130г;209.99 ₽;https://lenta.com/product/722700-syr-krymchanin-s-inzhirom-50-bez-zmzh-rossiya-130g/
Сыры;Сыр твердый ENDORF Monamont 50%, без змж, 200г;354.99 ₽;https://lenta.com/product/609164-syr-monamont-tv-50-bez-zmzh-rossiya-200g/
Сыры;Сыр полутвердый КИПРИНО Молочный 50%, без змж, весовой;285.00 ₽;https://lenta.com/product/896377-syr-ptv-molochnyjj-50-bez-zmzh-ves-rossiya/
Сыры;Сыр BONVIDA Для пиццы Моцарелла, без змж, 400г;279.99 ₽;https://lenta.com/product/528571-syr-mocarella-bez-zmzh-rossiya-400g/
Сыры;Сыр LAIME Грюйер 49%, 150г;744.99 ₽;https://lenta.com/product/718115-syr-gryujjer-49-150g-shvejjcariya-150g/
Сыры;Сыр СЫРОБОГАТОВ Гауда 45%, без змж, 180г;164.99 ₽;https://lenta.com/product/679865-syr-gauda-45-bez-zmzh-rossiya-180g/
Сыры;Сыр творожный КАРАТ Виоллета Light сливочный 60%, без змж, 160г;124.99 ₽;https://lenta.com/product/658754-syr-tvorozhnyjj-violleta-slivochnyjj-light-60-bez-zmzh-rossiya-160g/
Сыры;Сыр DENMAX Сулугуни 40%, без змж, 300г;199.99 ₽;https://lenta.com/product/453752-syr-suluguni-40-bez-zmzh-rossiya-300g/
Сыры;Сыр мягкий PRETTO Маскарпоне 80%, без змж, 500г;559.99 ₽;https://lenta.com/product/391749-syr-maskarpone-myagkijj-80-bez-zmzh-rossiya-500g/
Сыры;Сыр GALBANI Моцарелла Мини 45%, без змж, 285г;169.99 ₽;https://lenta.com/product/303911-syr-mocarella-mini-45-bez-zmzh-rossiya-285g/
Сыры;Сыр МИР ВКУСА Эмменталь 45%, без змж;480.00 ₽;https://lenta.com/product/792770-syr-emmental-45-bez-zmzh-ves-belarus/
Сыры;Сыр DANKE Пармезан 40%, без змж, 180г;259.99 ₽;https://lenta.com/product/701202-syr-parmezan-40-bez-zmzh-belarus-180g/
Сыры;Сыр полутвердый HOCHLAND Grunlander 50%, без змж, 400г;399.00 ₽;https://lenta.com/product/558320-syr-grunlander-ptv-bez-zmzh-rossiya-400g/
Сыры;Сыр БЕЛЕБЕЕВСКИЙ Российский 50%, без змж, 190г;179.99 ₽;https://lenta.com/product/556200-syr-rossijjskijj-50-bez-zmzh-rossiya-190g/
Сыры;Сыр PRESIDENT Camembert с белой плесенью 45%, без змж, 125г;229.99 ₽;https://lenta.com/product/502824-syr-s-belojj-plesenyu-kamamber-45-bez-zmzh-rossiya-125g/
Сыры;Сыр МИР ВКУСА Пармезан 40%, без змж, весовой;214.00 ₽;https://lenta.com/product/584029-syr-parmezan-40-bez-zmzh-ves-belarus/
Сыры;Сыр мягкий СЕЛО ЗЕЛЕНОЕ Фермерский завтрак 45%, без змж, 250г;199.99 ₽;https://lenta.com/product/558617-syr-myagkijj-fermerskijj-zavtrak-45-bez-zmzh-rossiya-250g/
Сыры;Сыр DOLCE Granto Пармезан 40%, нарезка, без змж, 175г;304.99 ₽;https://lenta.com/product/898243-syr-granto-parmezan-40-v-narezke-bez-zmzh-rossiya-175g/
Сыры;Сыр полутвердый GENIFIT 25%, без змж, 180г;159.99 ₽;https://lenta.com/product/900367-syr-ptv-25-fasovannyjj-bez-zmzh-rossiya-180g/
Сыры;Сыр мягкий ГОРОДЕЦКАЯ СЫРОВАРНЯ Шропшир с голубой плесенью 55%, без змж, 75г;199.99 ₽;https://lenta.com/product/733348-syr-myagkijj-s-golubojj-plesenyu-shropshir-55-bez-zmzh-rossiya-75g/
Сыры;Сыр ЛЕНТА FRESH Имеретинский 40%, без змж, 300г;299.99 ₽;https://lenta.com/product/746992-syr-imeretinskijj-40-bez-zmzh-rossiya-300g/
Сыры;Сыр полутвердый РАДОСТЬ ВКУСА Маасдам 45%, без змж, весовой;899.99 ₽;https://lenta.com/product/746548-syr-maasdam-ptv-45-bez-zmzh-ves-rossiya/
Сыры;Сыр VITALAT Камамбер 45%, без змж, 100г;189.99 ₽;https://lenta.com/product/492760-syr-kamamber-45-bez-zmzh-rossiya-100g/
Сыры;Сыр плавленый КАРАТ с ветчиной 25%, без змж, 130г;75.99 ₽;https://lenta.com/product/658755-syr-plavlenyjj-s-vetchinojj-25-lomtiki-bez-zmzh-rossiya-130g/
Сыры;Сыр PRETTO Кремчиз Pro 60%, без змж, 900г;799.99 ₽;https://lenta.com/product/750342-syr-kremchiz-pro-60-bez-zmzh-rossiya-900g/
Сыры;Сыр плавленый КАРАТ Дружба 45%, без змж, 90г;68.99 ₽;https://lenta.com/product/79836-syr-plavlenyjj-druzhba-45-bez-zmzh-rossiya-90g/
Сыры;Сыр плавленый СЫРОБОГАТОВ Ассорти Сливочный, грибы, ветчина 50%, без змж, 130г;109.99 ₽;https://lenta.com/product/508880-syr-plavlenyjj-assorti-sliv-griby-vetch-50-krug-bez-zmzh-rossiya-130g/
Сыры;Сыр LAIME Тарелка Ассорти Выбор эксперта №2, без змж, 110г;289.99 ₽;https://lenta.com/product/713660-syr-tarelka-assorti-vybor-eksperta-2-bez-zmzh-rossiya-110g/
Сыры;Сыр СВАЛЯ Тильзитер 45%, нарезка, без змж, 125г;159.99 ₽;https://lenta.com/product/626714-syr-tilziter-45-nar-bez-zmzh-rossiya-125g/
